Date,Price,Open,High,Low,Vol.,Volume,Change %
08/13/2023,186.9,190,191,186.3,93.56K,93560,-1.89%
08/10/2023,190.5,190.1,192,186,142.77K,142770,0.16%
08/09/2023,190.2,188.9,193.7,187,196.19K,196190,0.16%
08/08/2023,189.9,190.3,195.4,188,176.74K,176740,-2.11%
08/07/2023,194,194,197.8,193,134.36K,134360,-0.61%
08/06/2023,195.2,195.5,199.9,193,143.02K,143020,-0.10%
08/03/2023,195.4,200.1,204.8,194.6,174.16K,174160,-2.64%
08/02/2023,200.7,202.3,207.9,199,184.94K,184940,-2.43%
08/01/2023,205.7,202.5,207.3,198.5,213.54K,213540,-0.39%
07/31/2023,206.5,207,213,201.5,227.76K,227760,-0.19%
07/30/2023,206.9,184,206.9,184,1.16M,1160000,9.99%
07/27/2023,188.1,175.7,189.5,173,367.15K,367150,7.06%
07/26/2023,175.7,182.1,186.4,166.6,86.33K,86330,-5.08%
07/25/2023,185.1,188.8,189.9,181.1,197.71K,197710,-0.38%
07/24/2023,185.8,190,194.4,183.3,151.48K,151480,-2.62%
07/23/2023,190.8,192.1,195.7,187.3,161.37K,161370,-1.60%
07/20/2023,193.9,192.8,195.7,190,325.94K,325940,0.67%
07/19/2023,192.6,196.6,197,190,264.51K,264510,-0.10%
07/18/2023,192.8,181.6,193.9,181,488.38K,488380,6.46%
07/17/2023,181.1,177.2,181.8,177.2,159.85K,159850,1.17%
07/16/2023,179,177.2,181,177,135.13K,135130,0.90%
07/13/2023,177.4,176.5,178.4,176.3,98.39K,98390,0.34%
07/12/2023,176.8,174.2,179.9,174.2,308.59K,308590,0.23%
07/11/2023,176.4,177,178.4,172,339.19K,339190,-0.34%
07/10/2023,177,177.6,181,175.2,181.18K,181180,-1.06%
07/09/2023,178.9,177.7,181.8,177.1,504.98K,504980,1.02%
07/06/2023,177.1,174,178,172,382.16K,382160,1.43%
07/05/2023,174.6,171.7,175.1,170,262.95K,262950,0.75%
07/04/2023,173.3,170,174.7,170,120.78K,120780,0.46%
07/03/2023,172.5,175.4,176.9,169,180.59K,180590,-1.65%
07/02/2023,175.4,170,176.5,170,196.68K,196680,1.80%
06/26/2023,172.3,171.5,174.4,167,552.61K,552610,0.58%
06/25/2023,171.3,172.5,172.5,165.7,249.93K,249930,1.66%
06/22/2023,168.5,166.9,170.5,165,304.79K,304790,2.49%
06/21/2023,164.4,162.4,165.4,161.5,188.65K,188650,1.23%
06/20/2023,162.4,164,165.5,161.1,176.93K,176930,-0.92%
06/19/2023,163.9,162.8,164.8,160.1,134.94K,134940,0.68%
06/18/2023,162.8,166.9,166.9,160.4,148.49K,148490,-1.09%
06/15/2023,164.6,165,168.4,161,333.02K,333020,-0.42%
06/14/2023,165.3,167,171,164.6,370.98K,370980,0.73%
06/13/2023,164.1,158.5,167,158.5,375.38K,375380,2.82%
06/12/2023,159.6,158.6,163.3,158.6,195.45K,195450,-0.13%
06/11/2023,159.8,161,163.5,158.1,274.42K,274420,-0.68%
06/08/2023,160.9,160.6,165.4,160.4,350.76K,350760,-1.77%
06/07/2023,163.8,163.3,165,160.3,120.34K,120340,0.86%
06/06/2023,162.4,169.9,174,160.2,197.42K,197420,-3.39%
06/05/2023,168.1,164.5,171.6,164,286.78K,286780,2.56%
06/04/2023,163.9,160.4,164.4,160.4,143.33K,143330,1.30%
06/01/2023,161.8,161.9,164,160.8,127.71K,127710,0.81%
05/31/2023,160.5,160,162.2,157.2,276.27K,276270,1.33%
05/30/2023,158.4,159.9,162.7,156.4,110.71K,110710,0.25%
05/29/2023,158,158.1,163,156,240.53K,240530,-2.23%
05/28/2023,161.6,164.6,164.6,160.7,110.07K,110070,-0.25%
05/25/2023,162,160.5,164.7,159.2,241.65K,241650,-0.74%
05/24/2023,163.2,159.3,165.8,159.2,275.21K,275210,2.00%
05/23/2023,160,158.1,164,158,177.56K,177560,-0.12%
05/22/2023,160.2,159.1,162.9,151.6,205.12K,205120,0.69%
05/21/2023,159.1,163,167.5,157,161.31K,161310,-3.16%
05/18/2023,164.3,169.9,171,159,505.22K,505220,3.46%
