Date,Price,Open,High,Low,Vol.,Volume,Change %
08/13/2023,518.7,518.7,518.7,518.7,3.07K,3070,0.00%
08/10/2023,518.7,518.7,518.7,518.7,0.55K,550,0.00%
08/09/2023,518.7,518.7,518.7,518.7,1.50K,1500,0.00%
08/08/2023,518.7,518.7,518.7,518.7,0.87K,870,0.00%
08/07/2023,518.7,518.7,518.7,518.7,0.80K,800,0.00%
08/06/2023,518.7,518.7,518.7,518.7,0.66K,660,0.00%
08/03/2023,518.7,518.7,518.7,518.7,0.94K,940,0.00%
08/02/2023,518.7,518.7,518.7,518.7,0.42K,420,0.00%
08/01/2023,518.7,518.7,518.7,518.7,4.75K,4750,0.00%
07/31/2023,518.7,518.7,518.7,518.7,1.38K,1380,0.00%
07/30/2023,518.7,518.7,518.7,518.7,5.48K,5480,0.00%
07/27/2023,518.7,518.7,518.7,518.7,1.71K,1710,0.00%
07/26/2023,518.7,518.7,518.7,518.7,7.75K,7750,0.00%
07/25/2023,518.7,518.7,518.7,518.7,8.67K,8670,0.00%
07/24/2023,518.7,518.7,518.7,518.7,3.46K,3460,0.00%
07/23/2023,518.7,518.7,518.7,518.7,2.44K,2440,0.00%
07/20/2023,518.7,518.7,518.7,518.7,1.05K,1050,0.00%
07/19/2023,518.7,518.7,518.7,518.7,1.53K,1530,0.00%
07/18/2023,518.7,518.7,518.7,518.7,2.38K,2380,0.00%
07/17/2023,518.7,518.7,518.7,518.7,1.71K,1710,0.00%
07/16/2023,518.7,518.7,518.7,518.7,2.49K,2490,0.00%
07/13/2023,518.7,518.7,518.7,518.7,1.06K,1060,0.00%
07/12/2023,518.7,518.7,518.7,518.7,3.59K,3590,0.00%
07/11/2023,518.7,518.7,518.7,518.7,2.93K,2930,0.00%
07/10/2023,518.7,518.7,518.7,518.7,2.68K,2680,0.00%
07/09/2023,518.7,518.7,518.7,518.7,1.65K,1650,0.00%
07/06/2023,518.7,518.7,518.7,518.7,1.61K,1610,0.00%
07/05/2023,518.7,518.7,518.7,518.7,1.73K,1730,0.00%
07/04/2023,518.7,518.7,518.7,518.7,2.13K,2130,0.00%
07/03/2023,518.7,518.7,518.7,518.7,1.07K,1070,0.00%
07/02/2023,518.7,518.7,518.7,518.7,1.04K,1040,0.00%
06/26/2023,518.7,518.7,518.7,518.7,13.97K,13970,0.00%
06/25/2023,518.7,518.7,518.7,518.7,5.54K,5540,0.00%
06/22/2023,518.7,518.7,518.7,518.7,2.50K,2500,0.00%
06/21/2023,518.7,518.7,518.7,518.7,0.59K,590,0.00%
06/20/2023,518.7,518.7,518.7,518.7,1.55K,1550,0.00%
06/19/2023,518.7,518.7,518.7,518.7,0.81K,810,0.00%
06/18/2023,518.7,518.7,518.7,518.7,1.92K,1920,0.00%
06/15/2023,518.7,518.7,518.7,518.7,1.36K,1360,0.00%
06/14/2023,518.7,518.7,518.7,518.7,1.03K,1030,0.00%
06/13/2023,518.7,518.7,518.7,518.7,1.43K,1430,0.00%
06/12/2023,518.7,518.7,518.7,518.7,2.28K,2280,0.00%
06/11/2023,518.7,518.7,518.7,518.7,1.37K,1370,0.00%
06/08/2023,518.7,518.7,518.7,518.7,1.13K,1130,0.00%
06/07/2023,518.7,518.7,518.7,518.7,1.26K,1260,0.00%
06/06/2023,518.7,518.7,518.7,518.7,2.59K,2590,0.00%
06/05/2023,518.7,518.7,518.7,518.7,3.07K,3070,0.00%
06/04/2023,518.7,518.7,518.7,518.7,3.42K,3420,0.00%
06/01/2023,518.7,518.7,518.7,518.7,4.73K,4730,0.00%
05/31/2023,518.7,518.7,518.7,518.7,1.03K,1030,0.00%
05/30/2023,518.7,518.7,518.7,518.7,4.02K,4020,0.00%
05/29/2023,518.7,518.7,518.7,518.7,3.44K,3440,0.00%
05/28/2023,518.7,518.7,518.7,518.7,3.49K,3490,0.00%
05/25/2023,518.7,518.7,518.7,518.7,1.11K,1110,0.00%
05/24/2023,518.7,518.7,518.7,518.7,2.33K,2330,0.00%
05/23/2023,518.7,518.7,518.7,518.7,1.06K,1060,0.00%
05/22/2023,518.7,518.7,518.7,518.7,1.90K,1900,0.00%
05/21/2023,518.7,518.7,518.7,518.7,3.00K,3000,0.00%
05/18/2023,518.7,518.7,518.7,518.7,1.58K,1580,0.00%
05/17/2023,518.7,518.7,518.7,518.7,1.86K,1860,0.00%
05/16/2023,518.7,518.7,518.7,518.7,0.90K,900,0.00%
05/15/2023,518.7,518.7,518.7,518.7,2.44K,2440,0.00%
05/14/2023,518.7,518.7,518.7,518.7,3.18K,3180,0.00%
05/11/2023,518.7,518.7,518.7,518.7,2.89K,2890,0.00%
05/10/2023,518.7,518.7,518.7,518.7,1.35K,1350,0.00%
05/09/2023,518.7,518.7,518.7,518.7,2.77K,2770,0.00%
05/08/2023,518.7,518.7,518.7,518.7,1.13K,1130,0.00%
05/07/2023,518.7,518.7,518.7,518.7,2.64K,2640,0.00%
05/03/2023,518.7,518.7,518.7,518.7,0.82K,820,0.00%
05/02/2023,518.7,518.7,518.7,518.7,1.29K,1290,0.00%
04/30/2023,518.7,518.7,518.7,518.7,3.51K,3510,0.00%
04/27/2023,518.7,518.7,518.7,518.7,1.84K,1840,0.00%
04/26/2023,518.7,518.7,518.7,518.7,1.33K,1330,0.00%
04/25/2023,518.7,518.7,518.7,518.7,2.17K,2170,0.00%
04/24/2023,518.7,518.7,518.7,518.7,3.35K,3350,0.00%
04/18/2023,518.7,518.7,518.7,518.7,0.80K,800,0.00%
04/17/2023,518.7,518.7,518.7,518.7,0.72K,720,0.00%
04/16/2023,518.7,518.7,518.7,518.7,1.00K,1000,0.00%
04/13/2023,518.7,518.7,518.7,518.7,1.07K,1070,0.00%
04/12/2023,518.7,518.7,518.7,518.7,0.94K,940,0.00%
04/11/2023,518.7,518.7,518.7,518.7,0.38K,380,0.00%
04/10/2023,518.7,518.7,518.7,518.7,0.70K,700,0.00%
04/09/2023,518.7,518.7,518.7,518.7,0.64K,640,0.00%
04/06/2023,518.7,518.7,518.7,518.7,1.25K,1250,0.00%
04/05/2023,518.7,518.7,518.7,518.7,0.13K,130,0.00%
04/04/2023,518.7,518.7,518.7,518.7,0.54K,540,0.00%
04/03/2023,518.7,518.7,518.7,518.7,2.57K,2570,0.00%
04/02/2023,518.7,518.7,518.7,518.7,0.97K,970,0.00%
03/30/2023,518.7,518.7,518.7,518.7,0.32K,320,0.00%
03/29/2023,518.7,518.7,518.7,518.7,0.70K,700,0.00%
03/28/2023,518.7,518.7,518.7,518.7,0.28K,280,0.00%
03/27/2023,518.7,518.7,518.7,518.7,0.69K,690,0.00%
03/23/2023,518.7,518.7,518.7,518.7,0.11K,110,0.00%
03/22/2023,518.7,518.7,518.7,518.7,0.37K,370,0.00%
03/21/2023,518.7,518.7,518.7,518.7,0.30K,300,0.00%
03/20/2023,518.7,518.7,518.7,518.7,0.38K,380,0.00%
03/19/2023,518.7,518.7,518.7,518.7,0.25K,250,0.00%
03/16/2023,518.7,518.7,518.7,518.7,0.48K,480,0.00%
03/15/2023,518.7,518.7,518.7,518.7,0.50K,500,0.00%
03/14/2023,518.7,518.7,518.7,518.7,0.10K,100,0.00%
03/13/2023,518.7,518.7,518.7,518.7,1.29K,1290,0.00%
03/12/2023,518.7,518.7,518.7,518.7,0.83K,830,0.00%
03/09/2023,518.7,518.7,518.7,518.7,0.66K,660,0.00%
03/07/2023,518.7,518.7,518.7,518.7,1.87K,1870,0.00%
03/06/2023,518.7,518.7,518.7,518.7,0.37K,370,0.00%
03/05/2023,518.7,518.7,518.7,518.7,0.36K,360,0.00%
03/01/2023,518.7,518.7,518.7,518.7,2.23K,2230,0.00%
02/28/2023,518.7,518.7,518.7,518.7,1.58K,1580,0.00%
02/27/2023,518.7,518.7,518.7,518.7,1.90K,1900,0.00%
02/26/2023,518.7,518.7,518.7,518.7,0.54K,540,0.00%
02/23/2023,518.7,518.7,518.7,518.7,1.79K,1790,0.00%
02/22/2023,518.7,518.7,518.7,518.7,0.64K,640,0.00%
02/20/2023,518.7,518.7,518.7,518.7,0.77K,770,0.00%
02/19/2023,518.7,518.7,518.7,518.7,1.34K,1340,0.00%
02/16/2023,518.7,518.7,518.7,518.7,1.38K,1380,0.00%
02/15/2023,518.7,518.7,518.7,518.7,0.84K,840,0.00%
02/14/2023,518.7,518.7,518.7,518.7,0.49K,490,0.00%
02/13/2023,518.7,518.7,518.7,518.7,2.37K,2370,0.00%
02/12/2023,518.7,518.7,518.7,518.7,1.32K,1320,0.00%
02/09/2023,518.7,518.7,518.7,518.7,2.38K,2380,0.00%
02/08/2023,518.7,518.7,518.7,518.7,5.28K,5280,0.00%
02/07/2023,518.7,518.7,518.7,518.7,2.16K,2160,0.00%
02/06/2023,518.7,518.7,518.7,518.7,1.40K,1400,0.00%
02/05/2023,518.7,518.7,518.7,518.7,2.26K,2260,0.00%
02/02/2023,518.7,518.7,518.7,518.7,2.41K,2410,0.00%
02/01/2023,518.7,518.7,518.7,518.7,0.49K,490,0.00%
01/31/2023,518.7,518.7,518.7,518.7,1.73K,1730,0.00%
01/30/2023,518.7,518.7,518.7,518.7,3.66K,3660,0.00%
01/29/2023,518.7,518.7,518.7,518.7,1.15K,1150,0.00%
01/26/2023,518.7,518.7,518.7,518.7,2.11K,2110,0.00%
01/25/2023,518.7,518.7,518.7,518.7,1.95K,1950,0.00%
01/24/2023,518.7,518.7,518.7,518.7,2.49K,2490,0.00%
01/23/2023,518.7,518.7,518.7,518.7,1.19K,1190,0.00%
01/22/2023,518.7,518.7,518.7,518.7,2.33K,2330,0.00%
01/19/2023,518.7,518.7,518.7,518.7,2.32K,2320,0.00%
01/18/2023,518.7,518.7,518.7,518.7,2.01K,2010,0.00%
01/17/2023,518.7,518.7,518.7,518.7,2.07K,2070,0.00%
01/16/2023,518.7,518.7,518.7,518.7,1.87K,1870,0.00%
01/15/2023,518.7,518.7,518.7,518.7,4.75K,4750,0.00%
01/12/2023,518.7,518.7,518.7,518.7,1.85K,1850,0.00%
01/11/2023,518.7,518.7,518.7,518.7,4.41K,4410,0.00%
01/10/2023,518.7,518.7,518.7,518.7,0.58K,580,0.00%
01/09/2023,518.7,518.7,518.7,518.7,1.75K,1750,0.00%
01/08/2023,518.7,518.7,518.7,518.7,0.89K,890,0.00%
01/05/2023,518.7,518.7,518.7,518.7,3.87K,3870,0.00%
01/04/2023,518.7,518.7,518.7,518.7,1.73K,1730,0.00%
01/03/2023,518.7,518.7,518.7,518.7,1.15K,1150,0.00%
01/02/2023,518.7,518.7,518.7,518.7,1.43K,1430,0.00%
01/01/2023,518.7,518.7,518.7,518.7,0.81K,810,0.00%
12/29/2022,518.7,518.7,518.7,518.7,1.39K,1390,0.00%
12/28/2022,518.7,518.7,518.7,518.7,0.59K,590,0.00%
12/27/2022,518.7,518.7,518.7,518.7,5.32K,5320,0.00%
12/26/2022,518.7,518.7,518.7,518.7,0.92K,920,0.00%
12/22/2022,518.7,518.7,518.7,518.7,0.60K,600,0.00%
12/21/2022,518.7,518.7,518.7,518.7,0.98K,980,0.00%
12/20/2022,518.7,518.7,518.7,518.7,2.27K,2270,0.00%
12/19/2022,518.7,518.7,518.7,518.7,1.30K,1300,0.00%
12/18/2022,518.7,518.7,518.7,518.7,1.61K,1610,0.00%
12/15/2022,518.7,518.7,518.7,518.7,1.74K,1740,0.00%
12/14/2022,518.7,518.7,518.7,518.7,4.32K,4320,0.00%
12/13/2022,518.7,518.7,518.7,518.7,3.33K,3330,0.00%
12/12/2022,518.7,518.7,518.7,518.7,1.61K,1610,0.00%
12/11/2022,518.7,518.7,518.7,518.7,1.67K,1670,0.00%
12/08/2022,518.7,518.7,518.7,518.7,0.93K,930,0.00%
12/07/2022,518.7,518.7,518.7,518.7,1.49K,1490,0.00%
12/06/2022,518.7,518.7,518.7,518.7,0.49K,490,0.00%
12/05/2022,518.7,518.7,518.7,518.7,0.62K,620,0.00%
12/04/2022,518.7,518.7,518.7,518.7,2.20K,2200,0.00%
12/01/2022,518.7,518.7,518.7,518.7,1.25K,1250,0.00%
11/30/2022,518.7,518.7,518.7,518.7,0.33K,330,0.00%
11/29/2022,518.7,518.7,518.7,518.7,0.86K,860,0.00%
11/28/2022,518.7,518.7,518.7,518.7,1.16K,1160,0.00%
11/27/2022,518.7,518.7,518.7,518.7,0.41K,410,0.00%
11/24/2022,518.7,518.7,518.7,518.7,4.29K,4290,0.00%
11/23/2022,518.7,518.7,518.7,518.7,0.54K,540,0.00%
11/22/2022,518.7,518.7,518.7,518.7,2.91K,2910,0.00%
11/20/2022,518.7,518.7,518.7,518.7,9.65K,9650,0.00%
11/17/2022,518.7,518.7,518.7,518.7,2.13K,2130,0.00%
11/16/2022,518.7,518.7,518.7,518.7,7.25K,7250,0.00%
11/15/2022,518.7,518.7,518.7,518.7,3.02K,3020,0.00%
11/14/2022,518.7,518.7,518.7,518.7,3.82K,3820,0.00%
11/13/2022,518.7,518.7,518.7,518.7,4.19K,4190,0.00%
11/10/2022,518.7,518.7,518.7,518.7,6.45K,6450,0.00%
11/09/2022,518.7,518.7,518.7,518.7,30.36K,30360,0.00%
11/08/2022,518.7,518.7,518.7,518.7,5.99K,5990,0.00%
11/07/2022,518.7,518.7,518.7,518.7,8.75K,8750,0.00%
11/06/2022,518.7,518.7,518.7,518.7,15.43K,15430,0.00%
11/03/2022,518.7,518.7,518.7,518.7,9.92K,9920,0.00%
11/02/2022,518.7,518.7,518.7,518.7,20.21K,20210,0.00%
11/01/2022,518.7,518.7,518.7,518.7,17.09K,17090,0.00%
10/31/2022,518.7,518.7,518.7,518.7,6.95K,6950,0.00%
10/30/2022,518.7,518.7,518.7,518.7,6.56K,6560,0.00%
10/27/2022,518.7,518.7,518.7,518.7,14.63K,14630,0.00%
10/26/2022,518.7,518.7,518.7,518.7,3.94K,3940,0.00%
10/25/2022,518.7,518.7,518.7,518.7,6.68K,6680,0.00%
10/24/2022,518.7,518.7,518.7,518.7,2.83K,2830,0.00%
10/23/2022,518.7,518.7,518.7,518.7,7.22K,7220,0.00%
10/20/2022,518.7,518.7,518.7,518.7,8.95K,8950,0.00%
10/19/2022,518.7,518.7,518.7,518.7,8.76K,8760,0.00%
10/18/2022,518.7,518.7,518.7,518.7,7.47K,7470,0.00%
10/17/2022,518.7,518.7,518.7,518.7,9.57K,9570,0.00%
10/16/2022,518.7,518.7,518.7,518.7,10.73K,10730,0.00%
10/13/2022,518.7,518.7,518.7,518.7,15.03K,15030,0.00%
10/12/2022,518.7,518.7,518.7,518.7,9.29K,9290,0.00%
10/11/2022,518.7,518.7,518.7,518.7,16.84K,16840,0.00%
10/10/2022,518.7,518.7,518.7,518.7,22.51K,22510,0.00%
10/06/2022,518.7,518.7,518.7,518.7,11.12K,11120,0.00%
10/04/2022,518.7,518.7,518.7,518.7,19.53K,19530,0.00%
10/03/2022,518.7,518.7,518.7,518.7,20.38K,20380,0.00%
10/02/2022,518.7,518.7,518.7,518.7,27.24K,27240,0.00%
09/29/2022,518.7,518.7,518.7,518.7,44.42K,44420,0.00%
09/28/2022,518.7,518.7,518.7,518.7,84.54K,84540,0.00%
09/27/2022,518.7,518.7,518.7,518.7,69.50K,69500,0.00%
09/26/2022,518.7,518.7,518.7,518.7,33.01K,33010,0.00%
09/25/2022,518.7,518.7,518.7,518.7,42.43K,42430,0.00%
09/22/2022,518.7,518.7,518.7,518.7,70.33K,70330,0.00%
09/21/2022,518.7,518.7,518.7,518.7,49.18K,49180,0.00%
09/20/2022,518.7,518.7,518.7,518.7,81.00K,81000,0.00%
09/19/2022,518.7,518.7,518.7,518.7,62.79K,62790,0.00%
09/18/2022,518.7,518.7,518.7,518.7,65.20K,65200,0.00%
09/15/2022,518.7,518.7,518.7,518.7,52.47K,52470,0.00%
09/14/2022,518.7,518.7,518.7,518.7,58.56K,58560,0.00%
09/13/2022,518.7,518.7,518.7,518.7,181.54K,181540,0.00%
09/12/2022,518.7,518.7,519.8,518.7,405.05K,405050,0.00%
09/11/2022,518.7,518.7,518.7,518.7,81.72K,81720,0.00%
09/08/2022,518.7,518.7,519,518.7,165.25K,165250,0.00%
09/07/2022,518.7,518.7,518.7,518.7,304.05K,304050,0.00%
09/06/2022,518.7,520,520,518.7,311.06K,311060,-0.08%
09/05/2022,519.1,524.5,524.7,518.8,194.81K,194810,-0.82%
09/04/2022,523.4,522,527,519.5,216.88K,216880,0.85%
09/01/2022,519,519.9,519.9,518.7,469.30K,469300,0.00%
08/31/2022,519,521.5,521.5,518.8,324.07K,324070,-0.08%
08/30/2022,519.4,521.2,521.2,518.9,279.69K,279690,-0.19%
08/29/2022,520.4,523.8,523.8,520,195.43K,195430,-0.08%
08/28/2022,520.8,519,523.5,518.7,164.15K,164150,0.27%
08/25/2022,519.4,518.7,522,518.7,269.71K,269710,0.13%
08/24/2022,518.7,520,520,518.7,335.84K,335840,-0.04%
08/23/2022,518.9,521,521,518.7,667.46K,667460,-0.21%
08/22/2022,520,523,523,519.5,216.45K,216450,-0.50%
08/21/2022,522.6,519.1,523.9,519,114.54K,114540,0.75%
08/17/2022,518.7,520.4,520.9,518.7,449.97K,449970,-0.10%
08/16/2022,519.2,523,524.7,518.7,264.92K,264920,-0.54%
08/14/2022,522,525,525,520,44.28K,44280,0.58%
08/11/2022,519,520.2,521.9,518.7,175.30K,175300,-0.19%
08/10/2022,520,522.1,523,519.7,161.19K,161190,-0.61%
08/08/2022,523.2,530.2,531.9,522,246.66K,246660,-1.30%
08/07/2022,530.1,518.7,533.5,518.7,121.84K,121840,1.34%
08/04/2022,523.1,524.9,525,521,269.15K,269150,-0.11%
08/03/2022,523.7,526,526,522,210.02K,210020,0.36%
08/02/2022,521.8,522.1,523.6,521.1,230.10K,230100,-0.36%
08/01/2022,523.7,529.6,529.6,522.5,101.29K,101290,-0.76%
07/31/2022,527.7,518.7,528,518.7,119.12K,119120,2.57%
07/28/2022,514.5,518,518,510,67.68K,67680,-0.46%
07/27/2022,516.9,521.5,521.6,516,122.94K,122940,-1.03%
