Date,Price,Open,High,Low,Vol.,Volume,Change %
08/10/2023,146.2,146.2,146.2,146.2,1.54K,1540,0.00%
08/09/2023,146.2,146.2,146.2,146.2,0.82K,820,0.00%
08/08/2023,146.2,146.2,146.2,146.2,0.68K,680,0.00%
08/07/2023,146.2,146.2,146.2,146.2,0.05K,50,0.00%
08/06/2023,146.2,146.2,146.2,146.2,0.04K,40,0.00%
08/03/2023,146.2,146.2,146.2,146.2,0.10K,100,0.00%
08/02/2023,146.2,146.2,146.2,146.2,0.18K,180,0.00%
08/01/2023,146.2,146.2,146.2,146.2,0.15K,150,0.00%
07/31/2023,146.2,146.2,146.2,146.2,0.12K,120,0.00%
07/30/2023,146.2,146.2,146.2,146.2,0.67K,670,0.00%
07/27/2023,146.2,146.2,146.2,146.2,0.06K,60,0.00%
07/26/2023,146.2,146.2,146.2,146.2,0.02K,20,0.00%
07/25/2023,146.2,146.2,146.2,146.2,5.09K,5090,0.00%
07/24/2023,146.2,146.2,146.2,146.2,0.31K,310,0.00%
07/23/2023,146.2,146.2,146.2,146.2,7.25K,7250,0.00%
07/20/2023,146.2,146.2,146.2,146.2,4.42K,4420,0.00%
07/19/2023,146.2,146.2,146.2,146.2,1.75K,1750,0.00%
07/18/2023,146.2,146.2,146.2,146.2,1.33K,1330,0.00%
07/17/2023,146.2,146.2,146.2,146.2,3.97K,3970,0.00%
07/16/2023,146.2,146.2,146.2,146.2,3.25K,3250,0.00%
07/13/2023,146.2,146.2,146.2,146.2,0.78K,780,0.00%
07/12/2023,146.2,146.2,146.2,146.2,0.32K,320,0.00%
07/11/2023,146.2,146.2,146.2,146.2,0.06K,60,0.00%
07/10/2023,146.2,146.2,146.2,146.2,1.44K,1440,0.00%
07/09/2023,146.2,146.2,146.2,146.2,1.20K,1200,0.00%
07/06/2023,146.2,146.2,146.2,146.2,1.29K,1290,0.00%
07/05/2023,146.2,146.2,146.2,146.2,0.36K,360,0.00%
07/04/2023,146.2,146.2,146.2,146.2,0.10K,100,0.00%
07/03/2023,146.2,146.2,146.2,146.2,2.91K,2910,0.00%
07/02/2023,146.2,146.2,146.2,146.2,0.17K,170,0.00%
06/26/2023,146.2,146.2,146.2,146.2,5.35K,5350,0.00%
06/25/2023,146.2,146.2,146.2,146.2,9.69K,9690,0.00%
06/22/2023,146.2,146.2,146.2,146.2,5.04K,5040,0.00%
06/21/2023,146.2,146.2,146.2,146.2,12.52K,12520,0.00%
06/20/2023,146.2,146.2,146.2,146.2,3.42K,3420,0.00%
06/19/2023,146.2,146.2,146.2,146.2,1.34K,1340,0.00%
06/18/2023,146.2,146.2,146.2,146.2,0.14K,140,0.00%
06/15/2023,146.2,146.2,146.2,146.2,0.10K,100,0.00%
06/14/2023,146.2,146.2,146.2,146.2,1.85K,1850,0.00%
06/13/2023,146.2,146.2,146.2,146.2,2.82K,2820,0.00%
06/12/2023,146.2,146.2,146.2,146.2,100.25K,100250,0.00%
06/11/2023,146.2,146.2,146.2,146.2,0.04K,40,0.00%
06/08/2023,146.2,146.2,146.2,146.2,4.35K,4350,0.00%
06/07/2023,146.2,146.2,146.2,146.2,0.05K,50,0.00%
06/06/2023,146.2,146.2,146.2,146.2,4.42K,4420,0.00%
06/05/2023,146.2,146.2,146.2,146.2,2.13K,2130,0.00%
06/04/2023,146.2,146.2,146.2,146.2,1.26K,1260,0.00%
06/01/2023,146.2,146.2,146.2,146.2,0.67K,670,0.00%
05/31/2023,146.2,146.2,146.2,146.2,0.92K,920,0.00%
05/30/2023,146.2,146.2,146.2,146.2,1.81K,1810,0.00%
05/29/2023,146.2,146.2,146.2,146.2,1.78K,1780,0.00%
05/28/2023,146.2,146.2,146.2,146.2,5.60K,5600,0.00%
05/25/2023,146.2,146.2,146.2,146.2,7.50K,7500,0.00%
05/24/2023,146.2,146.2,146.2,146.2,5.63K,5630,0.00%
05/23/2023,146.2,146.2,146.2,146.2,0.28K,280,0.00%
05/22/2023,146.2,146.2,146.2,146.2,2.42K,2420,0.00%
05/21/2023,146.2,146.2,146.2,146.2,0.25K,250,0.00%
05/18/2023,146.2,146.2,146.2,146.2,1.48K,1480,0.00%
05/17/2023,146.2,146.2,146.2,146.2,1.30K,1300,0.00%
05/16/2023,146.2,146.2,146.2,146.2,3.12K,3120,0.00%
05/15/2023,146.2,146.2,146.2,146.2,1.90K,1900,0.00%
05/14/2023,146.2,146.2,146.2,146.2,0.90K,900,0.00%
05/11/2023,146.2,146.2,146.2,146.2,1.14K,1140,0.00%
05/10/2023,146.2,146.2,146.2,146.2,108.39K,108390,0.00%
05/09/2023,146.2,146.2,146.2,146.2,432.83K,432830,0.00%
05/08/2023,146.2,146.2,146.2,146.2,0.19K,190,0.00%
05/07/2023,146.2,146.2,146.2,146.2,2.65K,2650,0.00%
05/03/2023,146.2,146.2,146.2,146.2,1.20K,1200,0.00%
05/02/2023,146.2,146.2,146.2,146.2,0.44K,440,0.00%
04/30/2023,146.2,146.2,146.2,146.2,11.64K,11640,0.00%
04/27/2023,146.2,146.2,146.2,146.2,5.31K,5310,0.00%
04/26/2023,146.2,146.2,146.2,146.2,2.02K,2020,0.00%
04/25/2023,146.2,146.2,146.2,146.2,1.76K,1760,0.00%
04/24/2023,146.2,146.2,146.2,146.2,0.97K,970,0.00%
04/18/2023,146.2,146.2,146.2,146.2,1.51K,1510,0.00%
04/17/2023,146.2,146.2,146.2,146.2,7.29K,7290,0.00%
04/16/2023,146.2,146.2,146.2,146.2,1.62K,1620,0.00%
04/13/2023,146.2,146.2,146.2,146.2,0.23K,230,0.00%
04/12/2023,146.2,146.2,146.2,146.2,1.76K,1760,0.00%
04/11/2023,146.2,146.2,146.2,146.2,0.39K,390,0.00%
04/10/2023,146.2,146.2,146.2,146.2,6.49K,6490,0.00%
04/09/2023,146.2,146.2,146.2,146.2,9.02K,9020,0.00%
04/06/2023,146.2,146.2,146.2,146.2,10.65K,10650,0.00%
04/05/2023,146.2,146.2,146.2,146.2,10.08K,10080,0.00%
04/04/2023,146.2,146.2,146.2,146.2,5.82K,5820,0.00%
04/03/2023,146.2,146.2,146.2,146.2,12.87K,12870,0.00%
04/02/2023,146.2,146.2,146.2,146.2,14.42K,14420,0.00%
03/30/2023,146.2,146.2,146.2,146.2,0.04K,40,0.00%
03/29/2023,146.2,146.2,146.2,146.2,0.77K,770,0.00%
03/28/2023,146.2,146.2,146.2,146.2,3.47K,3470,0.00%
03/27/2023,146.2,146.2,146.2,146.2,0.47K,470,0.00%
03/23/2023,146.2,146.2,146.2,146.2,1.20K,1200,0.00%
03/22/2023,146.2,146.2,146.2,146.2,0.31K,310,0.00%
03/21/2023,146.2,146.2,146.2,146.2,1.09K,1090,0.00%
03/20/2023,146.2,146.2,146.2,146.2,3.90K,3900,0.00%
03/19/2023,146.2,146.2,146.2,146.2,14.52K,14520,0.00%
03/16/2023,146.2,146.2,146.2,146.2,3.49K,3490,0.00%
03/15/2023,146.2,146.2,146.2,146.2,6.42K,6420,0.00%
03/14/2023,146.2,146.2,146.2,146.2,4.18K,4180,0.00%
03/13/2023,146.2,146.2,146.2,146.2,11.69K,11690,0.00%
03/12/2023,146.2,146.2,146.2,146.2,36.18K,36180,0.00%
03/09/2023,146.2,146.2,146.2,146.2,0.34K,340,0.00%
03/07/2023,146.2,146.2,146.2,146.2,4.01K,4010,0.00%
03/06/2023,146.2,146.2,146.2,146.2,8.87K,8870,0.00%
03/05/2023,146.2,146.2,146.2,146.2,13.77K,13770,0.00%
03/02/2023,146.2,146.2,146.2,146.2,2.66K,2660,0.00%
03/01/2023,146.2,146.2,146.2,146.2,2.79K,2790,0.00%
02/28/2023,146.2,146.2,146.2,146.2,5.02K,5020,0.00%
02/27/2023,146.2,146.2,146.2,146.2,1.28K,1280,0.00%
02/26/2023,146.2,146.2,146.2,146.2,1.36K,1360,0.00%
02/23/2023,146.2,146.2,146.2,146.2,6.46K,6460,0.00%
02/22/2023,146.2,146.2,146.2,146.2,3.77K,3770,0.00%
02/20/2023,146.2,146.2,146.2,146.2,3.21K,3210,0.00%
02/19/2023,146.2,146.2,146.2,146.2,10.92K,10920,0.00%
02/16/2023,146.2,146.2,146.2,146.2,9.09K,9090,0.00%
02/15/2023,146.2,146.2,146.2,146.2,37.97K,37970,0.00%
02/14/2023,146.2,147,147.4,146.2,340.83K,340830,-0.68%
02/13/2023,147.2,146.2,147.9,146.2,295.82K,295820,0.68%
02/12/2023,146.2,146.2,147.5,146.2,524.89K,524890,-0.34%
02/09/2023,146.7,150.8,151.8,146.2,631.41K,631410,-2.59%
02/08/2023,150.6,146.2,151.8,146.2,1.35M,1350000,3.01%
02/07/2023,146.2,146.2,146.2,146.2,239.75K,239750,0.00%
02/06/2023,146.2,146.2,146.2,146.2,150.00K,150000,0.00%
02/05/2023,146.2,146.2,147.5,146.2,515.77K,515770,0.00%
02/02/2023,146.2,146.2,146.4,146.2,345.72K,345720,0.00%
02/01/2023,146.2,146.2,146.2,146.2,4.47K,4470,0.00%
01/31/2023,146.2,146.2,146.2,146.2,37.56K,37560,0.00%
01/30/2023,146.2,146.5,146.5,146.2,211.15K,211150,-0.34%
01/29/2023,146.7,148.2,148.2,146.4,96.85K,96850,-1.01%
01/26/2023,148.2,146.5,148.5,146.5,118.77K,118770,0.88%
01/25/2023,146.9,148.5,150,146.2,315.93K,315930,-1.08%
01/24/2023,148.5,146.4,148.9,146.2,185.05K,185050,1.57%
01/23/2023,146.2,148.9,149,146.2,323.81K,323810,-0.54%
01/22/2023,147,152.2,152.4,146.2,356.39K,356390,-3.42%
01/19/2023,152.2,149.9,154.8,149.9,734.33K,734330,0.93%
01/18/2023,150.8,154.2,155,149.9,481.10K,481100,-2.14%
01/17/2023,154.1,149.9,155.4,149,759.77K,759770,3.42%
01/16/2023,149,150.8,151.4,147.9,374.89K,374890,-1.13%
01/15/2023,150.7,147.5,150.9,146.6,802.30K,802300,3.01%
01/12/2023,146.3,146.3,147.4,146.2,207.29K,207290,-0.75%
01/11/2023,147.4,146.9,148.6,146.8,759.55K,759550,0.34%
01/10/2023,146.9,146.2,147.9,146.2,207.03K,207030,0.48%
01/09/2023,146.2,146.2,146.2,146.2,81.67K,81670,0.00%
01/08/2023,146.2,146.2,147.3,146.2,40.45K,40450,0.00%
01/05/2023,146.2,146.2,146.2,146.2,40.70K,40700,-0.27%
01/04/2023,146.6,146.2,147,146.2,464.20K,464200,0.27%
01/03/2023,146.2,146.2,146.2,146.2,10.84K,10840,0.00%
01/02/2023,146.2,146.2,146.2,146.2,16.26K,16260,0.00%
01/01/2023,146.2,146.2,147,146.2,74.79K,74790,0.00%
12/29/2022,146.2,146.7,147.5,146.2,145.88K,145880,-0.20%
12/28/2022,146.5,146.2,147.7,146.2,98.47K,98470,0.21%
12/27/2022,146.2,146.2,146.2,146.2,27.33K,27330,0.00%
12/26/2022,146.2,146.4,146.5,146.2,48.50K,48500,-0.14%
12/22/2022,146.4,149.8,149.8,146.2,73.60K,73600,-0.14%
12/21/2022,146.6,147.9,147.9,146.2,425.78K,425780,-0.14%
12/20/2022,146.8,146.9,148.9,146.6,205.72K,205720,-0.27%
12/19/2022,147.2,149.5,149.6,146.9,489.78K,489780,-0.34%
12/18/2022,147.7,148.7,149.6,147,71.18K,71180,-0.67%
12/15/2022,148.7,148.2,151,148.2,246.33K,246330,0.47%
12/14/2022,148,150.6,150.6,147.6,108.49K,108490,-1.27%
12/13/2022,149.9,151.7,153,149.7,134.25K,134250,-1.19%
12/12/2022,151.7,148.2,152.4,148.2,914.16K,914160,1.68%
12/11/2022,149.2,148.9,151.4,148.5,954.45K,954450,0.54%
12/08/2022,148.4,148.7,149,146.8,107.91K,107910,0.00%
12/07/2022,148.4,149.2,149.2,146.8,163.20K,163200,1.02%
12/06/2022,146.9,146.9,148.5,146.6,85.00K,85000,0.00%
12/05/2022,146.9,148,149.6,146.8,205.94K,205940,-0.74%
12/04/2022,148,152.6,152.8,147.5,110.04K,110040,-3.96%
12/01/2022,154.1,155,155,151.7,590.37K,590370,-0.64%
11/30/2022,155.1,146.3,156,146.2,1.05M,1050000,4.16%
11/29/2022,148.9,146.2,149.9,146.2,459.46K,459460,1.85%
11/28/2022,146.2,146.3,146.3,146.2,106.18K,106180,-0.07%
11/27/2022,146.3,146.2,147,146.2,72.10K,72100,0.07%
11/24/2022,146.2,146.2,146.9,146.2,64.81K,64810,0.00%
11/23/2022,146.2,146.3,148.5,146.2,101.96K,101960,-1.02%
11/22/2022,147.7,146.2,148,146.2,148.44K,148440,0.61%
11/20/2022,146.8,150.9,150.9,146.3,103.17K,103170,-2.39%
11/17/2022,150.4,146.2,151.5,146.2,423.22K,423220,2.87%
11/16/2022,146.2,146.2,146.2,146.2,107.58K,107580,0.00%
11/15/2022,146.2,146.3,147.7,146.2,273.63K,273630,-0.27%
11/14/2022,146.6,149.9,152,146.2,245.07K,245070,-2.20%
11/13/2022,149.9,158,158,149.4,191.86K,191860,-3.04%
11/10/2022,154.6,157,157.8,153,214.50K,214500,-0.45%
11/09/2022,155.3,163,163,154,613.01K,613010,-4.43%
11/08/2022,162.5,163.8,165.5,160,671.33K,671330,-0.67%
11/07/2022,163.6,168.8,168.8,161.9,669.69K,669690,-1.92%
11/06/2022,166.8,164.9,169.6,161.1,617.42K,617420,2.46%
11/03/2022,162.8,164,167,159,825.94K,825940,-0.79%
11/02/2022,164.1,155.4,165.2,155.4,784.50K,784500,5.60%
11/01/2022,155.4,149,156.7,147.1,425.53K,425530,4.16%
10/31/2022,149.2,151.4,152.9,148,176.29K,176290,-2.61%
10/30/2022,153.2,156.3,156.3,147.8,362.01K,362010,-2.05%
10/27/2022,156.4,159,160.9,156,185.86K,185860,-1.01%
10/26/2022,158,160,161.1,153.1,354.48K,354480,-1.37%
10/25/2022,160.2,162,164.3,159.5,299.41K,299410,0.00%
10/24/2022,160.2,170,170,155,167.84K,167840,-6.15%
10/23/2022,170.7,171.9,174,168,847.18K,847180,-0.06%
10/20/2022,170.8,172,173,169.3,898.71K,898710,-0.58%
10/19/2022,171.8,168.4,177.9,168.4,1.11M,1110000,2.02%
10/18/2022,168.4,162.4,169.9,152.2,750.08K,750080,3.76%
10/17/2022,162.3,162.8,164,160.3,609.28K,609280,1.31%
10/16/2022,160.2,164,165.5,159.7,243.22K,243220,-2.20%
10/13/2022,163.8,161.6,168,161.6,334.26K,334260,1.36%
10/12/2022,161.6,162.9,162.9,160.5,339.21K,339210,0.69%
10/11/2022,160.5,162.2,165,159.9,273.14K,273140,-1.53%
10/10/2022,163,171.9,171.9,160,522.13K,522130,-4.00%
10/06/2022,169.8,169.8,170.8,168.6,331.37K,331370,1.07%
10/04/2022,168,167.8,170.7,167.5,400.42K,400420,0.12%
10/03/2022,167.8,170.4,172.8,167.5,280.27K,280270,-1.18%
10/02/2022,169.8,169.2,171,168.1,817.83K,817830,-0.18%
09/29/2022,170.1,173,173,169.3,383.52K,383520,-0.58%
09/28/2022,171.1,168.5,173.3,166.9,663.25K,663250,0.41%
09/27/2022,170.4,174,174,168.5,575.60K,575600,-1.10%
09/26/2022,172.3,172,175,170,384.83K,384830,0.58%
09/25/2022,171.3,180.8,181,169.1,967.92K,967920,-5.25%
09/22/2022,180.8,185,185,178.6,1.30M,1300000,-0.88%
09/21/2022,182.4,185,189.6,181.1,661.61K,661610,-1.78%
09/20/2022,185.7,187,194.9,183,2.64M,2640000,0.43%
09/19/2022,184.9,180,186.2,178.8,1.17M,1170000,2.61%
09/18/2022,180.2,181.9,183.9,179.5,525.12K,525120,0.73%
09/15/2022,178.9,177.5,180.7,174.5,541.87K,541870,0.00%
09/14/2022,178.9,186.3,186.4,177.3,695.22K,695220,-3.09%
09/13/2022,184.6,186.3,190.1,183,860.31K,860310,-0.91%
09/12/2022,186.3,191.3,191.3,184.6,964.16K,964160,-2.61%
09/11/2022,191.3,185.8,194.7,185.2,2.37M,2370000,3.29%
09/08/2022,185.2,184,188.9,179.7,1.58M,1580000,1.54%
09/07/2022,182.4,170.9,184.3,169.6,2.99M,2990000,7.80%
09/06/2022,169.2,168,171,164.5,560.38K,560380,1.68%
09/05/2022,166.4,167.8,170.4,165.5,359.47K,359470,-1.77%
09/04/2022,169.4,172,175,168.4,984.27K,984270,-0.29%
09/01/2022,169.9,165.6,171.8,163.9,1.04M,1040000,2.78%
08/31/2022,165.3,165.3,166.9,164,738.47K,738470,0.36%
08/30/2022,164.7,164,165.9,163.1,376.26K,376260,0.67%
08/29/2022,163.6,162.4,164.5,162.4,314.88K,314880,0.25%
08/28/2022,163.2,164.8,168.5,162.2,549.75K,549750,-0.37%
08/25/2022,163.8,162,164.2,160.1,590.46K,590460,1.36%
08/24/2022,161.6,163,164.4,160.9,326.66K,326660,-0.86%
08/23/2022,163,159.1,165,159.1,1.15M,1150000,2.71%
08/22/2022,158.7,156.7,160,156.2,503.01K,503010,1.28%
08/21/2022,156.7,157,157.9,155.2,216.71K,216710,-0.70%
08/17/2022,157.8,156.4,159.4,156.4,481.92K,481920,0.90%
08/16/2022,156.4,151.2,157.1,151.2,335.21K,335210,3.64%
08/14/2022,150.9,151.5,152.5,150,141.37K,141370,0.47%
08/11/2022,150.2,150.6,152.5,148.8,220.75K,220750,-0.46%
08/10/2022,150.9,156,156.9,150.2,587.93K,587930,-3.15%
08/08/2022,155.8,161,161,155.5,533.40K,533400,-2.07%
08/07/2022,159.1,158.5,162.1,157,617.73K,617730,-0.56%
08/04/2022,160,159.5,162,156.4,1.22M,1220000,0.44%
08/03/2022,159.3,156.8,160.9,156.2,842.15K,842150,2.84%
08/02/2022,154.9,151,155.3,149,778.08K,778080,3.89%
08/01/2022,149.1,149.7,151.7,148.5,676.07K,676070,0.40%
07/31/2022,148.5,147.9,149,147.1,275.08K,275080,1.71%
07/28/2022,146,146.4,147.4,143.4,223.37K,223370,-0.21%
07/27/2022,146.3,150.1,151.9,146.3,552.39K,552390,-1.94%
07/26/2022,149.2,147.8,152,147,1.32M,1320000,2.05%
07/25/2022,146.2,145.3,146.6,140.7,396.96K,396960,1.88%
07/24/2022,143.5,147.1,148.7,143.3,188.22K,188220,-1.85%
07/21/2022,146.2,146.7,149.5,145.8,273.36K,273360,-0.34%
07/20/2022,146.7,146,147.8,144,263.17K,263170,0.76%
07/19/2022,145.6,142.4,146.9,142.4,576.20K,576200,0.21%
07/18/2022,145.3,148.2,150.4,145.3,215.16K,215160,-1.96%
07/17/2022,148.2,151.5,151.5,147.9,152.29K,152290,0.07%
07/14/2022,148.1,151,151,147.9,248.26K,248260,-1.79%
07/13/2022,150.8,153,154,150.1,210.72K,210720,-1.37%
07/12/2022,152.9,157,158.2,152.4,203.68K,203680,-0.91%
07/07/2022,154.3,155,155.7,153.6,160.81K,160810,-0.45%
07/06/2022,155,155,156,154.1,156.59K,156590,0.65%
07/05/2022,154,154.7,155.5,152.7,322.79K,322790,0.52%
07/04/2022,153.2,152,155.4,152,116.56K,116560,-0.91%
07/03/2022,154.6,152.3,156.9,152.3,78.84K,78840,0.00%
06/30/2022,154.6,158.2,158.2,154,537.18K,537180,-0.90%
06/29/2022,156,158,158,155.6,356.38K,356380,-0.83%
06/28/2022,157.3,160.9,160.9,156.6,274.11K,274110,-0.51%
06/27/2022,158.1,156.5,158.9,156.3,141.29K,141290,0.06%
06/26/2022,158,158.4,160.4,157.5,103.45K,103450,-0.44%
06/23/2022,158.7,162,162,158.1,115.07K,115070,-0.81%
06/22/2022,160,160,162,158.1,109.14K,109140,0.13%
06/21/2022,159.8,164.8,164.8,159.8,131.64K,131640,-1.96%
06/20/2022,163,165,165.5,162.7,200.77K,200770,-1.39%
06/19/2022,165.3,164.5,166.6,162,529.57K,529570,1.29%
06/16/2022,163.2,159.7,163.9,157,257.65K,257650,4.35%
06/15/2022,156.4,159.9,159.9,155.8,127.56K,127560,1.43%
06/14/2022,154.2,154.8,157.9,153.8,171.90K,171900,-1.72%
06/13/2022,156.9,159,159.3,156.5,395.10K,395100,-1.32%
06/12/2022,159,160.3,161,158.6,239.51K,239510,-0.69%
06/09/2022,160.1,160.1,162.5,159.8,195.53K,195530,-0.56%
06/08/2022,161,166,166,159.9,239.50K,239500,0.50%
06/07/2022,160.2,160.2,161.9,159.2,180.58K,180580,-0.87%
06/06/2022,161.6,163.5,164.9,161.3,340.21K,340210,-1.76%
06/05/2022,164.5,167.7,167.7,163.9,470.97K,470970,-0.48%
06/02/2022,165.3,169.7,169.7,164.8,378.65K,378650,-0.30%
06/01/2022,165.8,166,168.9,165,1.07M,1070000,0.24%
05/31/2022,165.4,161,166.9,161,827.42K,827420,1.66%
05/30/2022,162.7,155.6,165.5,155,1.54M,1540000,4.56%
05/29/2022,155.6,154.5,156.4,153.1,329.15K,329150,2.77%
05/26/2022,151.4,149.5,152.1,147.7,174.91K,174910,2.37%
05/25/2022,147.9,148.8,148.8,145.1,283.22K,283220,-0.60%
05/24/2022,148.8,152.1,152.1,146,399.52K,399520,-0.80%
05/23/2022,150,152.9,152.9,147.9,450.59K,450590,3.45%
05/22/2022,145,151,152.8,144.2,217.27K,217270,-3.46%
05/19/2022,150.2,152,153,146.4,281.91K,281910,-0.53%
05/18/2022,151,157.9,157.9,149.9,381.28K,381280,-4.07%
05/17/2022,157.4,160,160,155.5,205.16K,205160,-0.69%
05/16/2022,158.5,164.6,164.9,157.3,574.88K,574880,-4.06%
05/12/2022,165.2,166.1,168,165,216.64K,216640,-0.78%
05/11/2022,166.5,168.8,170.7,166,509.71K,509710,-1.30%
05/10/2022,168.7,167.3,171,167.3,613.83K,613830,0.84%
05/09/2022,167.3,168.6,169,166.5,186.00K,186000,-0.06%
05/08/2022,167.4,165.6,168,164.4,291.33K,291330,1.09%
05/05/2022,165.6,165.1,165.9,163.8,135.23K,135230,-0.06%
04/28/2022,165.7,167.4,167.4,164.8,275.14K,275140,-1.02%
04/27/2022,167.4,168.7,168.7,166.4,277.05K,277050,0.78%
04/26/2022,166.1,166,167.7,165.8,796.68K,796680,0.00%
04/25/2022,166.1,166.9,167.8,165.9,137.41K,137410,-1.07%
04/24/2022,167.9,167.9,169.2,167,380.19K,380190,0.60%
04/21/2022,166.9,167,167.9,165.3,165.32K,165320,1.21%
04/20/2022,164.9,164.4,168,163.5,231.81K,231810,0.92%
04/19/2022,163.4,160.9,167,155.5,325.47K,325470,3.03%
04/18/2022,158.6,163.4,163.4,158.5,380.93K,380930,-1.92%
04/17/2022,161.7,165.1,166.8,161.7,298.32K,298320,-2.00%
04/13/2022,165,166.1,166.2,163.3,340.92K,340920,-0.90%
04/12/2022,166.5,169,169,165,205.81K,205810,-0.95%
04/11/2022,168.1,170.6,170.6,167.9,153.29K,153290,-0.71%
04/10/2022,169.3,170,172.8,168.4,208.60K,208600,0.47%
04/07/2022,168.5,170.8,171.4,168,394.69K,394690,-1.35%
04/06/2022,170.8,173.5,173.5,168.2,369.60K,369600,-0.35%
04/05/2022,171.4,173.1,173.9,171,311.66K,311660,-1.44%
04/04/2022,173.9,177,177,173.1,211.47K,211470,-1.53%
04/03/2022,176.6,176.4,178.9,176.1,142.61K,142610,0.23%
03/31/2022,176.2,178.9,178.9,175,417.60K,417600,-0.34%
03/30/2022,176.8,179.5,179.5,176.5,270.63K,270630,-0.28%
03/29/2022,177.3,178.1,179.9,177,288.86K,288860,-0.39%
03/28/2022,178,182,182.9,177.5,544.78K,544780,-1.71%
03/27/2022,181.1,182.9,183,180.7,133.72K,133720,-0.66%
03/24/2022,182.3,183,184,181.3,731.15K,731150,-0.44%
03/23/2022,183.1,186.3,188.1,182.6,259.70K,259700,-1.08%
03/22/2022,185.1,180.6,187.9,179.3,611.00K,611000,3.18%
03/21/2022,179.4,177.9,180.2,177.6,156.40K,156400,0.84%
03/20/2022,177.9,181.8,182.3,177.1,270.94K,270940,0.00%
03/16/2022,177.9,181.7,181.7,177.4,193.93K,193930,-0.61%
03/15/2022,179,178.8,180.8,178.3,218.57K,218570,0.22%
03/14/2022,178.6,182,182,177.8,294.04K,294040,-1.49%
03/13/2022,181.3,179.8,182.4,178.7,226.71K,226710,1.74%
03/10/2022,178.2,180.9,182.2,176.4,405.91K,405910,-0.28%
03/09/2022,178.7,181.8,184.7,177.7,507.76K,507760,0.68%
03/08/2022,177.5,176.7,179.9,170.5,536.30K,536300,0.74%
03/07/2022,176.2,183,183,175.5,498.23K,498230,-4.13%
03/06/2022,183.8,186,188,182.8,319.95K,319950,-1.39%
03/03/2022,186.4,186.3,187,185,185.63K,185630,-0.37%
03/02/2022,187.1,190.9,191.3,186.8,335.19K,335190,-0.48%
03/01/2022,188,187.2,191,186.9,302.64K,302640,0.80%
02/28/2022,186.5,185.2,190,185.2,581.18K,581180,0.70%
02/27/2022,185.2,189.1,189.1,185,511.02K,511020,-1.59%
02/24/2022,188.2,192.5,193.1,187.7,923.37K,923370,-1.41%
02/23/2022,190.9,190,195.6,189.1,496.11K,496110,0.58%
02/22/2022,189.8,191,191.8,189.6,242.53K,242530,-0.58%
02/20/2022,190.9,192.7,192.7,190.5,188.76K,188760,-0.93%
02/17/2022,192.7,196.7,196.7,191.5,442.80K,442800,-1.88%
02/16/2022,196.4,195,198.5,193.3,823.89K,823890,1.60%
02/15/2022,193.3,194.5,194.7,192.9,1.13M,1130000,-0.41%
02/14/2022,194.1,195.2,197,193.5,312.93K,312930,-0.46%
02/13/2022,195,197,197.9,193.7,403.44K,403440,-0.66%
02/10/2022,196.3,198.8,199.6,196,408.06K,408060,-1.21%
02/09/2022,198.7,197.3,198.9,197.3,234.31K,234310,0.71%
02/08/2022,197.3,197.4,199.4,196.1,341.15K,341150,-0.20%
02/07/2022,197.7,199,201.5,197.5,830.10K,830100,-0.10%
02/06/2022,197.9,196.4,199.8,196.3,374.30K,374300,0.82%
02/03/2022,196.3,196.6,197.9,195.6,412.06K,412060,0.10%
02/02/2022,196.1,196.8,198.9,196,380.52K,380520,0.05%
02/01/2022,196,197,197.6,195.2,330.04K,330040,0.36%
01/31/2022,195.3,198.9,199,194.7,646.47K,646470,-0.56%
01/30/2022,196.4,201.4,203,196,412.77K,412770,-1.01%
01/27/2022,198.4,196.3,201.5,196.3,257.00K,257000,1.12%
01/26/2022,196.2,199,199,195.9,241.54K,241540,0.00%
01/25/2022,196.2,199.3,199.8,195.3,284.07K,284070,-0.46%
01/24/2022,197.1,204.2,204.2,195.5,374.14K,374140,-2.91%
