Date,Price,Open,High,Low,Vol.,Volume,Change %
08/13/2023,286.6,286.6,286.6,286.6,0.99K,990,0.00%
08/10/2023,286.6,286.6,286.6,286.6,1.23K,1230,0.00%
08/09/2023,286.6,286.6,286.6,286.6,2.68K,2680,0.00%
08/08/2023,286.6,286.6,286.6,286.6,1.05K,1050,0.00%
08/07/2023,286.6,286.6,286.6,286.6,0.58K,580,0.00%
08/06/2023,286.6,286.6,286.6,286.6,0.98K,980,0.00%
08/03/2023,286.6,286.6,286.6,286.6,2.05K,2050,0.00%
08/02/2023,286.6,286.6,286.6,286.6,0.58K,580,0.00%
08/01/2023,286.6,286.6,286.6,286.6,0.40K,400,0.00%
07/31/2023,286.6,286.6,286.6,286.6,0.99K,990,0.00%
07/30/2023,286.6,286.6,286.6,286.6,1.57K,1570,0.00%
07/27/2023,286.6,286.6,286.6,286.6,1.85K,1850,0.00%
07/26/2023,286.6,286.6,286.6,286.6,1.16K,1160,0.00%
07/25/2023,286.6,286.6,286.6,286.6,5.05K,5050,0.00%
07/24/2023,286.6,286.6,286.6,286.6,2.56K,2560,0.00%
07/23/2023,286.6,286.6,286.6,286.6,2.60K,2600,0.00%
07/20/2023,286.6,286.6,286.6,286.6,3.99K,3990,0.00%
07/19/2023,286.6,286.6,286.6,286.6,6.66K,6660,0.00%
07/18/2023,286.6,286.6,286.6,286.6,14.81K,14810,0.00%
07/17/2023,286.6,286.6,286.6,286.6,3.90K,3900,0.00%
07/16/2023,286.6,286.6,286.6,286.6,2.66K,2660,0.00%
07/13/2023,286.6,286.6,286.6,286.6,5.57K,5570,0.00%
07/12/2023,286.6,286.6,286.6,286.6,2.68K,2680,0.00%
07/11/2023,286.6,286.6,286.6,286.6,1.51K,1510,0.00%
07/10/2023,286.6,286.6,286.6,286.6,9.64K,9640,0.00%
07/09/2023,286.6,286.6,286.6,286.6,1.79K,1790,0.00%
07/06/2023,286.6,286.6,286.6,286.6,2.33K,2330,0.00%
07/05/2023,286.6,286.6,286.6,286.6,2.41K,2410,0.00%
07/04/2023,286.6,286.6,286.6,286.6,1.13K,1130,0.00%
07/03/2023,286.6,286.6,286.6,286.6,3.53K,3530,0.00%
07/02/2023,286.6,286.6,286.6,286.6,1.68K,1680,0.00%
06/26/2023,286.6,286.6,286.6,286.6,23.57K,23570,0.00%
06/25/2023,286.6,286.6,286.6,286.6,12.10K,12100,0.00%
06/22/2023,286.6,286.6,286.6,286.6,5.92K,5920,0.00%
06/21/2023,286.6,286.6,286.6,286.6,5.24K,5240,0.00%
06/20/2023,286.6,286.6,286.6,286.6,5.56K,5560,0.00%
06/19/2023,286.6,286.6,286.6,286.6,2.52K,2520,0.00%
06/18/2023,286.6,286.6,286.6,286.6,4.69K,4690,0.00%
06/15/2023,286.6,286.6,286.6,286.6,5.56K,5560,0.00%
06/14/2023,286.6,286.6,286.6,286.6,0.39K,390,0.00%
06/13/2023,286.6,286.6,286.6,286.6,2.51K,2510,0.00%
06/12/2023,286.6,286.6,286.6,286.6,2.14K,2140,0.00%
06/11/2023,286.6,286.6,286.6,286.6,2.02K,2020,0.00%
06/08/2023,286.6,286.6,286.6,286.6,7.70K,7700,0.00%
06/07/2023,286.6,286.6,286.6,286.6,0.51K,510,0.00%
06/06/2023,286.6,286.6,286.6,286.6,3.01K,3010,0.00%
06/05/2023,286.6,286.6,286.6,286.6,1.60K,1600,0.00%
06/04/2023,286.6,286.6,286.6,286.6,1.87K,1870,0.00%
06/01/2023,286.6,286.6,286.6,286.6,1.08K,1080,0.00%
05/31/2023,286.6,286.6,286.6,286.6,2.55K,2550,0.00%
05/30/2023,286.6,286.6,286.6,286.6,2.95K,2950,0.00%
05/29/2023,286.6,286.6,286.6,286.6,2.54K,2540,0.00%
05/28/2023,286.6,286.6,286.6,286.6,1.82K,1820,0.00%
05/25/2023,286.6,286.6,286.6,286.6,1.04K,1040,0.00%
05/24/2023,286.6,286.6,286.6,286.6,1.67K,1670,0.00%
05/23/2023,286.6,286.6,286.6,286.6,1.89K,1890,0.00%
05/22/2023,286.6,286.6,286.6,286.6,3.64K,3640,0.00%
05/21/2023,286.6,286.6,286.6,286.6,3.05K,3050,0.00%
05/18/2023,286.6,286.6,286.6,286.6,3.41K,3410,0.00%
05/17/2023,286.6,286.6,286.6,286.6,4.07K,4070,0.00%
05/16/2023,286.6,286.6,286.6,286.6,2.78K,2780,0.00%
05/15/2023,286.6,286.6,286.6,286.6,28.45K,28450,0.00%
05/14/2023,286.6,286.6,286.6,286.6,1.51K,1510,0.00%
05/11/2023,286.6,286.6,286.6,286.6,2.45K,2450,0.00%
05/10/2023,286.6,286.6,286.6,286.6,1.98K,1980,0.00%
05/09/2023,286.6,286.6,286.6,286.6,1.95K,1950,0.00%
05/08/2023,286.6,286.6,286.6,286.6,5.14K,5140,0.00%
05/07/2023,286.6,286.6,286.6,286.6,2.90K,2900,0.00%
05/03/2023,286.6,286.6,286.6,286.6,2.07K,2070,0.00%
05/02/2023,286.6,286.6,286.6,286.6,1.75K,1750,0.00%
04/30/2023,286.6,286.6,286.6,286.6,3.55K,3550,0.00%
04/27/2023,286.6,286.6,286.6,286.6,2.07K,2070,0.00%
04/26/2023,286.6,286.6,286.6,286.6,1.94K,1940,0.00%
04/25/2023,286.6,286.6,286.6,286.6,12.18K,12180,0.00%
04/24/2023,286.6,286.6,286.6,286.6,0.56K,560,0.00%
04/18/2023,286.6,286.6,286.6,286.6,0.29K,290,0.00%
04/17/2023,286.6,286.6,286.6,286.6,0.30K,300,0.00%
04/16/2023,286.6,286.6,286.6,286.6,1.28K,1280,0.00%
04/13/2023,286.6,286.6,286.6,286.6,1.43K,1430,0.00%
