Date,Price,Open,High,Low,Vol.,Volume,Change %
08/13/2023,67.8,67.9,68,67.6,462.06K,462060,-0.15%
08/10/2023,67.9,67.4,68.1,67.2,458.19K,458190,0.30%
08/09/2023,67.7,67.5,68.2,67.5,467.59K,467590,-0.88%
08/08/2023,68.3,66.8,68.5,66.7,1.16M,1160000,2.09%
08/07/2023,66.9,67.4,67.8,66.8,724.21K,724210,-0.74%
08/06/2023,67.4,68,68,67.3,728.39K,728390,-1.17%
08/03/2023,68.2,68.3,68.4,68,511.94K,511940,0.00%
08/02/2023,68.2,68.1,68.6,68.1,430.54K,430540,-0.29%
08/01/2023,68.4,68.5,68.7,68.1,669.77K,669770,-0.29%
07/31/2023,68.6,68.7,69.1,68.4,724.75K,724750,-0.72%
07/30/2023,69.1,69.4,69.4,68.5,943.33K,943330,0.29%
07/27/2023,68.9,69.2,69.2,68.4,651.10K,651100,0.58%
07/26/2023,68.5,68.3,68.8,67.6,845.00K,845000,0.88%
07/25/2023,67.9,68.6,68.6,67.4,738.08K,738080,-0.29%
07/24/2023,68.1,68.9,69,67.9,798.71K,798710,-0.87%
07/23/2023,68.7,69.5,69.6,68.4,1.20M,1200000,-0.87%
07/20/2023,69.3,70,70.9,69.1,3.79M,3790000,-0.29%
07/19/2023,69.5,70.3,70.7,69.2,2.01M,2010000,-1.56%
07/18/2023,70.6,70.7,71,70.2,1.53M,1530000,-0.14%
07/17/2023,70.7,71.8,72,70.5,2.08M,2080000,-0.98%
07/16/2023,71.4,69.7,71.6,69.7,2.90M,2900000,2.88%
07/13/2023,69.4,68.2,69.6,68.2,1.57M,1570000,1.76%
07/12/2023,68.2,68.2,68.5,68.1,948.60K,948600,0.00%
07/11/2023,68.2,68.1,68.6,68.1,619.04K,619040,-0.15%
07/10/2023,68.3,68.2,68.8,68.1,727.27K,727270,-0.15%
07/09/2023,68.4,68.9,69.3,68,1.93M,1930000,-0.73%
07/06/2023,68.9,68.6,69.1,68.6,743.86K,743860,0.44%
07/05/2023,68.6,69.6,69.6,68.4,902.91K,902910,-0.58%
07/04/2023,69,68.6,69.3,68.1,670.66K,670660,0.88%
07/03/2023,68.4,68.9,69.2,68.2,660.56K,660560,-0.73%
07/02/2023,68.9,69.5,69.5,68.5,458.05K,458050,-0.86%
06/26/2023,69.5,68.8,70.3,68.8,1.95M,1950000,1.02%
06/25/2023,68.8,67.9,69.1,67.8,1.59M,1590000,1.33%
06/22/2023,67.9,67.3,68.2,67.1,1.46M,1460000,0.89%
06/21/2023,67.3,67.1,67.6,66.7,757.81K,757810,0.45%
06/20/2023,67,67.6,67.8,66.8,804.38K,804380,-0.89%
06/19/2023,67.6,66.5,68.2,66.4,1.26M,1260000,1.96%
06/18/2023,66.3,66.8,66.8,66,734.33K,734330,-0.15%
06/15/2023,66.4,65.7,67,65.6,739.82K,739820,1.07%
06/14/2023,65.7,67.3,67.3,65.1,1.76M,1760000,-1.65%
06/13/2023,66.8,66.5,67.3,66.5,1.09M,1090000,0.45%
06/12/2023,66.5,67.1,67.8,65.6,3.33M,3330000,-0.89%
06/11/2023,67.1,69.1,69.2,66.4,2.16M,2160000,-2.75%
06/08/2023,69,69.2,69.6,68.1,1.16M,1160000,0.15%
06/07/2023,68.9,68.9,70.4,68.3,1.57M,1570000,1.32%
06/06/2023,68,71,71.4,67.7,2.69M,2690000,-4.23%
06/05/2023,71,71.6,72.7,70.6,3.09M,3090000,-0.84%
06/04/2023,71.6,72.3,72.5,70.6,2.29M,2290000,-0.28%
06/01/2023,71.8,71.4,73.1,70.7,3.57M,3570000,1.13%
05/31/2023,71,71.9,73.4,70.6,4.64M,4640000,-1.25%
05/30/2023,71.9,69.2,72.1,68.9,6.58M,6580000,3.90%
05/29/2023,69.2,69.6,70.5,69,3.76M,3760000,0.44%
05/28/2023,68.9,67.7,69.8,67.1,4.48M,4480000,2.68%
05/25/2023,67.1,67.3,67.8,66.9,1.48M,1480000,-0.30%
05/24/2023,67.3,67.8,68.6,67.1,2.57M,2570000,-0.15%
05/23/2023,67.4,66.3,67.6,66.1,1.89M,1890000,1.66%
05/22/2023,66.3,66.6,66.8,65.9,849.48K,849480,-0.45%
05/21/2023,66.6,66.6,67.1,66.4,1.31M,1310000,0.15%
05/18/2023,66.5,66.5,66.8,66,1.68M,1680000,0.61%
05/17/2023,66.1,67,67.5,65.9,1.48M,1480000,-1.20%
05/16/2023,66.9,65.3,67.1,64.8,2.76M,2760000,1.98%
05/15/2023,65.6,66.4,67.1,65.2,1.49M,1490000,-1.20%
05/14/2023,66.4,67.7,68,66.1,1.38M,1380000,-1.92%
05/11/2023,67.7,67.6,69.4,67.5,2.67M,2670000,-0.59%
05/10/2023,68.1,69.5,69.7,67.7,2.56M,2560000,-1.59%
05/09/2023,69.2,71,72.4,68.8,8.05M,8050000,1.17%
05/08/2023,68.4,69.9,70.8,68,3.71M,3710000,-1.72%
05/07/2023,69.6,67.2,69.9,67.2,4.23M,4230000,3.57%
