Date,Price,Open,High,Low,Vol.,Volume,Change %
08/13/2023,657.8,628,666,625.2,259.81K,259810,5.18%
08/10/2023,625.4,623.1,630,615.1,222.80K,222800,-0.05%
08/09/2023,625.7,630.1,638,617,191.25K,191250,-1.79%
08/08/2023,637.1,630,654,624,276.38K,276380,1.47%
08/07/2023,627.9,615.1,634,615.1,599.47K,599470,2.08%
08/06/2023,615.1,615.1,615.1,615.1,1.88K,1880,0.00%
08/03/2023,615.1,615.1,615.1,615.1,0.05K,50,0.00%
08/02/2023,615.1,615.1,615.1,615.1,0.01K,10,0.00%
07/31/2023,615.1,615.1,615.1,615.1,0.00K,0,0.00%
07/26/2023,615.1,615.1,615.1,615.1,0.00K,0,0.00%
07/25/2023,615.1,615.1,615.1,615.1,9.22K,9220,0.00%
07/24/2023,615.1,615.1,615.1,615.1,0.14K,140,0.00%
07/23/2023,615.1,615.1,615.1,615.1,0.01K,10,0.00%
07/20/2023,615.1,615.1,615.1,615.1,0.01K,10,0.00%
07/19/2023,615.1,615.1,615.1,615.1,0.02K,20,0.00%
07/18/2023,615.1,615.1,615.1,615.1,0.01K,10,0.00%
07/17/2023,615.1,615.1,615.1,615.1,0.24K,240,0.00%
07/16/2023,615.1,615.1,615.1,615.1,0.00K,0,0.00%
07/13/2023,615.1,615.1,615.1,615.1,0.26K,260,0.00%
07/12/2023,615.1,615.1,615.1,615.1,10.60K,10600,0.00%
07/11/2023,615.1,615.1,615.1,615.1,0.03K,30,0.00%
07/10/2023,615.1,615.1,615.1,615.1,0.05K,50,0.00%
07/09/2023,615.1,615.1,615.1,615.1,0.13K,130,0.00%
07/06/2023,615.1,615.1,615.1,615.1,0.03K,30,0.00%
07/05/2023,615.1,615.1,615.1,615.1,0.02K,20,0.00%
07/04/2023,615.1,615.1,615.1,615.1,0.20K,200,0.00%
07/03/2023,615.1,615.1,615.1,615.1,0.12K,120,0.00%
07/02/2023,615.1,615.1,615.1,615.1,0.02K,20,0.00%
06/26/2023,615.1,615.1,615.1,615.1,0.03K,30,0.00%
06/25/2023,615.1,615.1,615.1,615.1,0.00K,0,0.00%
06/19/2023,615.1,615.1,615.1,615.1,0.04K,40,0.00%
06/18/2023,615.1,615.1,615.1,615.1,0.16K,160,0.00%
06/15/2023,615.1,615.1,615.1,615.1,0.00K,0,0.00%
06/14/2023,615.1,615.1,615.1,615.1,0.12K,120,0.00%
06/13/2023,615.1,615.1,615.1,615.1,0.02K,20,0.00%
06/12/2023,615.1,615.1,615.1,615.1,0.18K,180,0.00%
06/11/2023,615.1,615.1,615.1,615.1,0.06K,60,0.00%
06/08/2023,615.1,615.1,615.1,615.1,0.01K,10,0.00%
06/07/2023,615.1,615.1,615.1,615.1,0.03K,30,0.00%
06/06/2023,615.1,615.1,615.1,615.1,0.02K,20,0.00%
06/05/2023,615.1,615.1,615.1,615.1,0.05K,50,0.00%
06/04/2023,615.1,615.1,615.1,615.1,0.25K,250,0.00%
06/01/2023,615.1,615.1,615.1,615.1,0.13K,130,0.00%
05/31/2023,615.1,615.1,615.1,615.1,0.33K,330,0.00%
05/30/2023,615.1,615.1,615.1,615.1,0.50K,500,0.00%
05/29/2023,615.1,615.1,615.1,615.1,1.26K,1260,0.00%
05/28/2023,615.1,615.1,615.1,615.1,1.42K,1420,0.00%
05/25/2023,615.1,615.1,615.1,615.1,0.22K,220,0.00%
05/24/2023,615.1,615.1,615.1,615.1,2.06K,2060,0.00%
05/23/2023,615.1,615.1,615.1,615.1,2.52K,2520,0.00%
05/22/2023,615.1,615.1,615.1,615.1,0.92K,920,0.00%
05/21/2023,615.1,615.1,615.1,615.1,0.96K,960,0.00%
05/18/2023,615.1,615.1,615.1,615.1,0.56K,560,0.00%
05/17/2023,615.1,615.1,615.1,615.1,1.87K,1870,0.00%
05/16/2023,615.1,615.1,615.1,615.1,1.59K,1590,0.00%
05/15/2023,615.1,615.1,615.1,615.1,1.00K,1000,0.00%
05/14/2023,615.1,615.1,615.1,615.1,12.41K,12410,0.00%
05/11/2023,615.1,615.1,615.1,615.1,112.51K,112510,0.00%
05/10/2023,615.1,619.4,620,615.1,76.77K,76770,-0.45%
05/09/2023,617.9,625,630.4,615.1,134.73K,134730,-1.64%
05/08/2023,628.2,640.1,642,625,35.50K,35500,-1.84%
05/07/2023,640,638,671,624,112.72K,112720,2.24%
05/03/2023,626,629.9,633,621.1,74.17K,74170,-0.30%
05/02/2023,627.9,645,653,619.5,70.47K,70470,-2.36%
04/30/2023,643.1,625,648.9,625,296.90K,296900,2.98%
04/27/2023,624.5,618.5,627.9,615.1,100.46K,100460,1.36%
04/26/2023,616.1,627.9,628,615.5,80.69K,80690,-0.61%
04/25/2023,619.9,624.8,628.4,617,98.66K,98660,0.49%
04/24/2023,616.9,628.7,628.7,615.1,57.14K,57140,-1.45%
04/18/2023,626,615.1,629,615.1,74.73K,74730,1.77%
04/17/2023,615.1,615.1,615.1,615.1,0.89K,890,0.00%
